city,FemalePoliticians_2015,FemalePoliticians_2016,FemalePoliticians_2017,FemalePoliticians_2018,FemalePoliticians_2019,FemalePoliticians_2020,FemalePoliticians_2021,FemalePoliticians_2022,FemaleMayor_2013,FemaleMayor_2014,FemaleMayor_2015,FemaleMayor_2016,FemaleMayor_2017,FemaleMayor_2018,FemaleMayor_2019,FemaleMayor_2020,FemaleMayor_2021,FemaleMayor_2022,MayorsPartisanship_2015,MayorsPartisanship_2016,MayorsPartisanship_2017,MayorsPartisanship_2018,MayorsPartisanship_2019,MayorsPartisanship_2020,MayorsPartisanship_2021,MayorsPartisanship_2022,Age_2015,Age_2016,Age_2017,Age_2018,Age_2019,Age_2020,Age_2021,AssemblyPartisanship_2015,AssemblyPartisanship_2016,AssemblyPartisanship_2017,AssemblyPartisanship_2018,AssemblyPartisanship_2019,AssemblyPartisanship_2020,AssemblyPartisanship_2021,AssemblyPartisanship_2022,FinancialCapability_2015,FinancialCapability_2016,FinancialCapability_2017,FinancialCapability_2018,FinancialCapability_2019,FinancialCapability_2020,FinancialCapability_2021,AgingPopulation_2015,AgingPopulation_2016,AgingPopulation_2017,AgingPopulation_2018,AgingPopulation_2019,AgingPopulation_2020,AgingPopulation_2021,AgingPopulation_2022,PopulationDensity_2015,PopulationDensity_2016,PopulationDensity_2017,PopulationDensity_2018,PopulationDensity_2019,PopulationDensity_2020,PopulationDensity_2021,PopulationDensity_2022,Partnership2016,Surnames2016,Surnames_unanimous2016,Surnames_submission2016,Partnership,Surnames,Surnames_unanimous,Surnames_submission,FreeSchoolLunch,GeneralAdministration_2016,SocialWelfare_2016,Sanitation_2016,LaborAdministration_2016,CommerceIndustry_2016,PublicWorks_2016,FireService_2016,Education_2016,DebtService_2016,GeneralAdministration_2017,SocialWelfare_2017,Sanitation_2017,LaborAdministration_2017,CommerceIndustry_2017,PublicWorks_2017,FireService_2017,Education_2017,DebtService_2017,GeneralAdministration_2018,SocialWelfare_2018,Sanitation_2018,LaborAdministration_2018,CommerceIndustry_2018,PublicWorks_2018,FireService_2018,Education_2018,DebtService_2018,GeneralAdministration_2019,SocialWelfare_2019,Sanitation_2019,LaborAdministration_2019,CommerceIndustry_2019,PublicWorks_2019,FireService_2019,Education_2019,DebtService_2019,GeneralAdministration_2020,SocialWelfare_2020,Sanitation_2020,LaborAdministration_2020,CommerceIndustry_2020,PublicWorks_2020,FireService_2020,Education_2020,DebtService_2020,GeneralAdministration_2021,SocialWelfare_2021,Sanitation_2021,LaborAdministration_2021,CommerceIndustry_2021,PublicWorks_2021,FireService_2021,Education_2021,DebtService_2021
Chiyoda,0.200,0.200,0.200,0.200,0.240,0.250,0.250,0.261,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,54.36,54.36,54.36,54.36,55.44,55.44,55.44,0.40,0.56,0.60,0.60,0.56,0.56,0.54,0.52,0.83,0.85,0.88,0.90,0.89,0.89,0.87,18.6,18.3,17.8,17.8,17.3,16.9,16.7,16.8,4877.62,5023.67,14823.78,14972.98,15116.43,15251.24,15254.67,15175.17,0,0,0,0,0,0,0,0,0,24.0,28.1,8.1,0.2,2.7,18.9,0.8,15.3,0.9,20.5,31.2,8.9,0.2,3.1,15.0,0.9,18.3,0.7,18.8,31.7,8.6,0.2,2.9,14.3,0.7,21.7,0.3,19.7,34.4,8.5,0.2,3.0,17.1,0.6,15.3,0.1,36.3,28.0,7.8,0.1,2.3,11.4,0.7,12.4,0.1,16.4,34.9,11.3,0.2,3.3,12.6,0.6,19.8,0.1
Chuo,0.300,0.300,0.286,0.285,0.400,0.400,0.400,0.414,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,51.53,51.53,51.53,51.53,50.10,50.10,50.10,0.40,0.47,0.46,0.46,0.43,0.43,0.43,0.43,0.69,0.69,0.69,0.67,0.66,0.67,0.68,16.4,16.2,15.5,15.5,15.1,14.8,14.8,14.8,13524.78,14005.39,5127.62,5254.63,5457.55,5655.40,5764.67,5750.34,0,0,0,0,0,0,0,0,1,10.7,28.2,6.5,0.2,3.5,30.2,0.6,18.5,0.9,10.3,28.7,6.2,0.2,3.2,21.8,0.4,27.8,0.9,18.2,34.5,7.4,0.2,3.6,16.4,0.6,17.6,0.7,13.2,33.9,7.0,0.2,3.9,17.1,0.8,22.4,0.8,25.6,25.8,5.3,0.1,3.0,24.0,0.3,14.6,0.7,15.3,28.9,8.2,0.1,3.4,18.6,0.7,23.4,0.8
Minato,0.324,0.324,0.324,0.323,0.382,0.382,0.382,0.382,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,48.29,48.29,48.29,48.29,50.91,50.91,50.91,0.38,0.35,0.35,0.35,0.32,0.32,0.32,0.32,1.17,1.19,1.25,1.27,1.27,1.26,1.22,17.4,17.4,17.2,17.2,17.0,16.9,17.1,17.2,11810.75,11977.27,14656.22,15359.75,15915.96,16489.81,16707.44,16789.32,0,0,0,0,1,0,0,0,0,18.1,40.0,8.0,0.2,1.5,9.8,6.9,14.1,0.7,9.7,35.8,6.3,0.2,1.1,7.0,24.8,14.3,0.4,16.0,42.4,7.9,0.2,1.5,7.6,9.9,13.7,0.3,16.3,42.6,7.6,0.2,1.6,9.8,7.6,13.7,0.2,27.8,36.9,7.0,0.2,3.1,9.2,3.2,12.2,0.1,16.1,37.3,10.9,0.2,4.5,9.5,2.3,18.9,0.1
Shinjuku,0.237,0.216,0.216,0.216,0.263,0.263,0.278,0.257,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,48.45,48.45,48.45,48.45,48.74,48.74,48.74,0.26,0.26,0.24,0.24,0.29,0.29,0.28,0.29,0.62,0.64,0.66,0.66,0.66,0.67,0.67,20.0,19.9,19.7,19.7,19.5,19.4,19.6,19.8,17986.39,18342.10,12235.74,12451.60,12637.51,12782.47,12716.54,12625.58,0,1,0,2,0,1,1,3,0,12.9,54.0,9.1,0.7,1.5,7.4,1.0,10.8,2.1,12.9,56.0,9.3,0.8,1.5,6.6,1.2,9.5,1.6,13.8,55.3,9.1,0.8,1.5,7.3,1.0,9.2,1.4,13.2,54.6,9.2,0.8,1.7,8.5,0.9,9.0,1.6,29.1,44.6,8.5,0.5,1.6,5.4,0.5,8.2,1.3,12.0,53.5,13.5,0.6,2.5,6.3,0.6,9.0,1.6
Bunkyo,0.412,0.412,0.394,0.393,0.412,0.412,0.412,0.412,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,49.70,49.70,49.70,49.70,51.74,51.74,51.74,0.27,0.27,0.27,0.27,0.29,0.29,0.29,0.29,0.64,0.65,0.66,0.67,0.65,0.65,0.64,20.0,20.0,19.7,19.7,19.4,19.1,19.2,19.3,18371.39,18628.17,18577.83,18786.88,18999.01,19124.70,18947.91,18727.88,0,0,0,0,1,1,1,2,0,16.6,46.6,8.0,0.1,0.7,6.1,1.2,18.2,1.8,12.9,46.6,8.3,0.2,0.6,7.6,1.0,20.6,1.5,12.4,44.0,7.4,0.2,0.6,9.4,1.2,23.1,1.1,11.8,46.0,6.8,0.2,0.9,12.7,0.9,19.2,0.7,29.1,36.8,6.4,0.2,1.7,10.0,1.0,13.8,0.5,16.2,42.3,11.8,0.2,0.9,4.6,1.0,22.0,0.5
Taito,0.188,0.194,0.194,0.200,0.219,0.219,0.226,0.226,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,44.15,44.15,44.15,44.15,51.63,51.63,51.63,0.31,0.31,0.30,0.30,0.28,0.28,0.26,0.26,0.44,0.45,0.46,0.47,0.47,0.48,0.48,23.8,23.7,23.4,23.4,23.1,22.8,22.6,22.4,18773.00,18966.27,18952.08,19257.66,19618.16,20027.81,20068.56,20047.12,0,0,0,0,0,1,1,1,1,11.2,56.0,8.1,0.2,3.9,6.2,1.0,10.0,2.8,9.0,55.7,8.1,0.2,3.9,6.3,1.2,13.1,1.9,9.9,54.4,8.3,0.2,3.9,6.1,1.0,13.5,2.1,14.1,52.6,8.4,0.2,3.8,6.6,1.2,10.8,1.6,27.8,44.7,7.4,0.1,4.3,4.0,0.9,9.0,1.2,14.0,53.0,10.9,0.1,3.6,4.6,1.5,10.5,1.3
Sumida,0.313,0.313,0.323,0.322,0.313,0.313,0.313,0.313,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,41.44,41.44,41.44,41.44,51.84,51.84,51.84,0.41,0.41,0.41,0.39,0.38,0.41,0.41,0.41,0.39,0.40,0.41,0.41,0.41,0.41,0.42,22.7,22.8,22.6,22.6,22.5,22.2,22.1,22.0,18767.10,19006.75,19171.32,19400.00,19712.36,20022.85,20143.13,20149.26,0,0,0,0,0,1,0,1,0,11.8,54.0,6.6,0.2,1.6,7.2,0.6,14.1,3.2,11.1,57.4,6.8,0.1,1.5,7.1,0.7,12.3,2.4,12.8,54.7,6.4,0.1,1.4,8.1,0.5,13.2,2.3,12.8,55.3,6.5,0.1,1.5,8.9,0.5,11.5,2.2,29.2,43.1,6.7,0.1,1.7,7.8,0.4,8.6,1.8,17.0,52.0,9.7,0.1,1.9,6.5,0.4,9.9,2.1
Koto,0.295,0.295,0.286,0.285,0.295,0.295,0.302,0.310,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,51.45,51.45,51.45,51.45,52.68,52.68,52.68,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.48,0.49,0.49,0.49,0.49,0.50,0.50,21.1,21.3,21.5,21.5,21.5,21.5,21.4,21.5,12299.60,12487.57,19262.02,19527.81,19742.85,19963.40,20017.94,20023.53,0,1,1,1,0,1,1,1,0,16.5,50.7,7.3,0.1,0.6,4.7,0.7,17.5,1.3,16.6,49.3,7.1,0.1,0.5,4.1,0.7,20.1,1.1,17.4,52.3,7.3,0.1,0.5,4.8,0.6,15.4,1.1,11.6,53.1,7.2,0.1,0.8,4.8,1.9,18.9,1.2,29.6,43.0,6.2,0.1,0.9,3.7,1.3,13.9,0.9,11.8,54.6,10.4,0.1,1.1,3.9,0.6,16.1,1.0
Shinagawa,0.275,0.275,0.263,0.230,0.275,0.275,0.263,0.300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,48.78,48.78,48.78,48.78,49.75,49.75,49.75,0.28,0.28,0.26,0.24,0.30,0.30,0.30,0.30,0.55,0.56,0.56,0.55,0.55,0.55,0.56,21.0,21.1,21.0,21.0,20.7,20.4,20.2,20.3,16290.59,16555.30,12612.33,12778.81,12910.33,12138.52,12236.71,12228.60,0,0,0,0,0,0,0,0,1,10.4,43.8,7.0,0.3,1.2,21.5,2.0,12.0,1.2,9.3,46.0,7.0,0.5,1.3,19.8,1.0,13.5,1.1,12.7,45.4,6.9,0.5,1.3,13.5,1.1,17.2,1.0,10.4,46.3,6.6,0.2,1.5,14.2,1.3,18.3,0.7,32.6,36.6,6.2,0.2,1.8,8.2,0.8,12.8,0.5,14.5,49.0,10.5,0.2,1.9,7.9,1.3,13.7,0.6
Meguro,0.417,0.417,0.382,0.382,0.306,0.294,0.303,0.303,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,48.84,48.84,48.84,48.84,49.06,49.06,49.06,0.36,0.36,0.37,0.38,0.28,0.29,0.30,0.30,0.73,0.76,0.78,0.78,0.75,0.75,0.74,19.9,20.0,19.8,19.8,19.7,19.6,19.7,19.9,18383.71,18505.04,16758.36,16971.19,17281.09,17587.74,17793.52,17675.09,0,0,0,0,0,0,0,0,0,14.6,48.0,8.9,0.2,0.7,6.6,0.6,15.7,3.8,14.1,51.5,9.3,0.2,0.8,6.3,0.6,13.3,3.1,17.3,51.3,8.6,0.2,0.7,5.6,0.7,12.3,2.6,15.9,51.7,8.4,0.2,0.8,5.3,0.7,13.9,2.3,35.0,40.9,6.8,0.1,0.9,4.0,0.7,9.5,1.6,13.5,48.1,11.0,0.2,0.9,5.1,0.4,18.7,1.7
